L T,R T,L T-1,R T-1,L T-2,R T-2,L T-3,R T-3,L T-4,R T-4,L T-5,R T-5,L T-6,R T-6,L T-7,R T-7,L T-8,R T-8,L T-9,R T-9,class
1,0.564829092,1,0.52661142,1,0.564829092,1,0.562666763,0.920133342,0.543994111,1,0.543994111,1,0.543994111,0.95592526,0.518099259,0.951831343,0.381058368,0.923548145,0.367466797,real
1,0.52661142,1,0.564829092,1,0.562666763,0.920133342,0.543994111,1,0.543994111,1,0.543994111,0.95592526,0.518099259,0.951831343,0.381058368,0.923548145,0.367466797,0.956047671,0.462818737,real
1,0.564829092,1,0.562666763,0.920133342,0.543994111,1,0.543994111,1,0.543994111,0.95592526,0.518099259,0.951831343,0.381058368,0.923548145,0.367466797,0.956047671,0.462818737,0.956047671,0.462818737,real
1,0.562666763,0.920133342,0.543994111,1,0.543994111,1,0.543994111,0.95592526,0.518099259,0.951831343,0.381058368,0.923548145,0.367466797,0.956047671,0.462818737,0.956047671,0.462818737,0.913215344,0.537361514,real
0.920133342,0.543994111,1,0.543994111,1,0.543994111,0.95592526,0.518099259,0.951831343,0.381058368,0.923548145,0.367466797,0.956047671,0.462818737,0.956047671,0.462818737,0.913215344,0.537361514,0.913215344,0.509901951,real
1,0.543994111,1,0.543994111,0.95592526,0.518099259,0.951831343,0.381058368,0.923548145,0.367466797,0.956047671,0.462818737,0.956047671,0.462818737,0.913215344,0.537361514,0.913215344,0.509901951,0.916666667,0.564829092,real
1,0.543994111,0.95592526,0.518099259,0.951831343,0.381058368,0.923548145,0.367466797,0.956047671,0.462818737,0.956047671,0.462818737,0.913215344,0.537361514,0.913215344,0.509901951,0.916666667,0.564829092,0.916666667,0.564829092,real
0.95592526,0.518099259,0.951831343,0.381058368,0.923548145,0.367466797,0.956047671,0.462818737,0.956047671,0.462818737,0.913215344,0.537361514,0.913215344,0.509901951,0.916666667,0.564829092,0.916666667,0.564829092,0.955618934,0.518099259,real
0.951831343,0.381058368,0.923548145,0.367466797,0.956047671,0.462818737,0.956047671,0.462818737,0.913215344,0.537361514,0.913215344,0.509901951,0.916666667,0.564829092,0.916666667,0.564829092,0.955618934,0.518099259,0.913215344,0.535778708,real
0.923548145,0.367466797,0.956047671,0.462818737,0.956047671,0.462818737,0.913215344,0.537361514,0.913215344,0.509901951,0.916666667,0.564829092,0.916666667,0.564829092,0.955618934,0.518099259,0.913215344,0.535778708,0.955627093,0.493076376,real
0.956047671,0.462818737,0.956047671,0.462818737,0.913215344,0.537361514,0.913215344,0.509901951,0.916666667,0.564829092,0.916666667,0.564829092,0.955618934,0.518099259,0.913215344,0.535778708,0.955627093,0.493076376,0.955627093,0.493076376,real
0.956047671,0.462818737,0.913215344,0.537361514,0.913215344,0.509901951,0.916666667,0.564829092,0.916666667,0.564829092,0.955618934,0.518099259,0.913215344,0.535778708,0.955627093,0.493076376,0.955627093,0.493076376,0.955627093,0.509901951,real
0.913215344,0.537361514,0.913215344,0.509901951,0.916666667,0.564829092,0.916666667,0.564829092,0.955618934,0.518099259,0.913215344,0.535778708,0.955627093,0.493076376,0.955627093,0.493076376,0.955627093,0.509901951,0.913215344,0.539934397,real
0.913215344,0.509901951,0.916666667,0.564829092,0.916666667,0.564829092,0.955618934,0.518099259,0.913215344,0.535778708,0.955627093,0.493076376,0.955627093,0.493076376,0.955627093,0.509901951,0.913215344,0.539934397,0.840279886,0.518099259,real
0.916666667,0.564829092,0.916666667,0.564829092,0.955618934,0.518099259,0.913215344,0.535778708,0.955627093,0.493076376,0.955627093,0.493076376,0.955627093,0.509901951,0.913215344,0.539934397,0.840279886,0.518099259,0.840279886,0.518099259,real
0.913215344,0.537361514,0.913215344,0.509901951,0.916666667,0.564829092,0.916666667,0.564829092,0.955618934,0.518099259,0.913215344,0.535778708,0.955627093,0.493076376,0.955627093,0.493076376,0.955627093,0.509901951,0.913215344,0.539934397,real
0.956465628,0.544818338,0.993670822,0.546780644,0.923548145,0.544818338,0.886514444,0.562666763,0.956465628,0.567010594,0.959900627,0.547907693,0.920998633,0.533493566,0.891300311,0.592378915,0.92603145,0.567010594,0.965584249,0.567010594,fake
